func,start,end,is_cold,container_id,provider.request_id,request_id
train,1655126880.820898,1655126881.093777,False,11f2c389,2d7f5a64-55cc-4d26-8413-82b813b98b27,ef8c3b8a
generate,1655126880.433207,1655126880.647341,False,17e094a0,f2af17b0-1835-4a56-b416-272f2c50dd48,ef8c3b8a
train,1655126880.834739,1655126881.035669,False,087fc414,4fe42810-cc54-482b-bc4d-cb57ec4ffe73,ef8c3b8a
generate,1655126917.399526,1655126917.686013,False,17e094a0,78cae6bf-d800-4fc0-93b2-5f13d1f52d00,a6eb0004
train,1655126917.867503,1655126918.084052,False,087fc414,48ce5dcb-cdff-44fc-8751-f48424a24f03,a6eb0004
train,1655126917.857759,1655126918.072076,False,11f2c389,47907995-c7d3-4421-82f5-5a534b1408a3,a6eb0004
train,1655126954.714435,1655126955.200697,False,11f2c389,ef3f7c4a-cb04-41a7-8a88-af294d2906d5,129713b0
train,1655126954.698455,1655126954.877556,False,087fc414,b5a9b5ec-ad1d-41e6-9d74-f11c0387c898,129713b0
generate,1655126954.285089,1655126954.52425,False,17e094a0,abc8c92d-1ac4-45c3-8e70-1e525109732e,129713b0
generate,1655126990.97442,1655126991.176604,False,17e094a0,f356b4d4-ee58-4da7-bebe-3c6375cf391b,84790158
train,1655126991.351338,1655126991.544606,False,11f2c389,61141078-095a-47d1-aba1-60953ca38994,84790158
train,1655126991.360064,1655126991.542039,False,087fc414,386b26f5-a569-490e-a80d-6045c7d07aac,84790158
train,1655127028.666199,1655127028.888183,False,11f2c389,25bf1b32-4359-482a-90a4-a2eff4b9daa4,df3fa642
train,1655127028.675389,1655127028.876247,False,087fc414,393e8e7d-008e-4e62-9e62-8e5822766be5,df3fa642
generate,1655127028.297324,1655127028.489489,False,17e094a0,8a158efc-d8bb-49ee-948c-891a1eea885d,df3fa642
train,1655127064.97074,1655127065.183616,False,087fc414,e72c7ba1-0b1b-46b3-8ce2-66157a7ed806,6c58ef3b
generate,1655127064.505213,1655127064.789493,False,17e094a0,1de1e255-51fc-4b27-a367-d6a37c7f905f,6c58ef3b
train,1655127064.959177,1655127065.174582,False,11f2c389,cc5cf290-4b6e-40b1-b3e6-6cc70ab1b721,6c58ef3b
train,1655127102.231196,1655127102.436655,False,11f2c389,85a63096-1615-4129-97ac-a058eac9254f,3d348a6f
train,1655127102.21547,1655127102.437938,False,087fc414,53cd211f-9f96-4611-b4e1-5ef69dacebab,3d348a6f
generate,1655127101.79699,1655127102.048391,False,17e094a0,557f75ab-e547-4a10-8c63-979c61dad96d,3d348a6f
generate,1655127139.921345,1655127140.146374,False,17e094a0,4678c946-7eb0-4fe6-b2ea-ddd1f6b4a7f4,d4944816
train,1655127140.323777,1655127140.53221,False,11f2c389,f8ca96c8-2593-4583-912d-774fd3c50503,d4944816
train,1655127140.314884,1655127140.517903,False,087fc414,ec001814-787f-4b19-90d3-ad56951ccc84,d4944816
train,1655127178.533163,1655127178.719437,False,11f2c389,f30c4f04-0181-43fd-a928-4325113cc55c,bc1021a2
generate,1655127178.091985,1655127178.296453,False,17e094a0,87e8827a-675d-447f-8b77-0f0b689ac065,bc1021a2
train,1655127178.518553,1655127178.717406,False,087fc414,09e0a957-2b9c-48d8-94b3-2e3ec0dbaca0,bc1021a2
train,1655127216.389825,1655127216.586204,False,087fc414,dfadac22-7a12-4a18-83eb-e96d14389fcd,10978867
generate,1655127215.979718,1655127216.20275,False,17e094a0,84990661-a4ba-4934-9c6a-7bc2bccf3911,10978867
train,1655127216.387136,1655127216.581333,False,11f2c389,73427943-68b9-4221-826b-3d64a8018779,10978867
train,1655127253.992523,1655127254.186213,False,087fc414,9b365275-d91a-4ed1-bf95-8fec92b7b4b0,d83af091
train,1655127253.994811,1655127254.180659,False,11f2c389,0a46ccce-057a-4b7c-b8a8-4eda77a19430,d83af091
generate,1655127253.617332,1655127253.816203,False,17e094a0,19aaf8f5-e407-4dc6-9ad6-b3b1c7a9c9a1,d83af091
generate,1655127291.380258,1655127291.584182,False,17e094a0,5048753d-1785-433e-bd68-e934767b58c9,b17b365a
train,1655127291.768825,1655127291.948482,False,087fc414,25938af7-e919-4fd4-a3af-ca2a477f6f4e,b17b365a
train,1655127291.771502,1655127291.965283,False,11f2c389,ae632a30-a288-40d0-bc6c-d9b57a77b3c4,b17b365a
train,1655127329.23836,1655127329.483733,False,087fc414,32dc5123-7ecb-47f3-bcc3-973ce196cf4d,c4dfa4b8
train,1655127329.235323,1655127329.490572,False,11f2c389,de8f0863-9329-4af8-9e97-666610275886,c4dfa4b8
generate,1655127328.755671,1655127329.073049,False,17e094a0,e5a98d43-180a-44f4-b6d5-d97436f94462,c4dfa4b8
generate,1655127366.955546,1655127367.222305,False,17e094a0,55af0f97-57ae-4584-b7d6-e9eacf97726d,db98105c
train,1655127367.397721,1655127367.614018,False,087fc414,c8cd66cb-e477-48de-887c-d2aa45fa6b1e,db98105c
train,1655127367.39753,1655127367.630193,False,11f2c389,2f2845f4-97aa-4a87-a30a-a48446eb193c,db98105c
train,1655127405.286096,1655127405.514768,False,087fc414,5963f716-9ee6-4029-973b-3be6cada3d2f,9cbd1e3d
generate,1655127404.893145,1655127405.105545,False,17e094a0,1db18165-17f4-4c9d-a9fd-5bf4bcf64926,9cbd1e3d
train,1655127405.283869,1655127405.501992,False,11f2c389,b2600e6e-313f-4da9-bd28-f53c71d304ed,9cbd1e3d
