func,start,end,is_cold,container_id,provider.request_id,request_id
reduce,1655122818.591082,1655122824.1774,True,6e18bd20,29523b78-bf2c-44cf-8ee0-cff0fe3e5977,51b0af76
reduce,1655122818.605369,1655122824.02693,True,6f8e3cd8,3487b980-150b-440f-8262-46df414cc4d1,51b0af76
reduce,1655122818.619291,1655122824.127367,True,a4d0f42c,9f581104-b9ec-489f-8f3e-72dc2893367c,51b0af76
shuffle,1655122812.689031,1655122817.889743,True,45788673,28e8c7c7-74cf-493d-9c85-77a0a8736fe7,51b0af76
reduce,1655122818.631775,1655122824.34135,True,6a67d079,30d05122-a107-41d3-acca-07711e8b195b,51b0af76
map,1655122806.564058,1655122812.297727,True,1e80c1b0,c4536176-efc0-4829-8e22-12cc68818b3b,51b0af76
reduce,1655122818.61696,1655122823.980968,True,9737088e,c7d106f0-683c-4742-9fed-611463affc89,51b0af76
map,1655122806.498696,1655122812.05272,True,ead88a16,9950248f-25fa-4e68-8fe5-843b3fdd483a,51b0af76
split,1655122800.409742,1655122806.007327,True,8fba63a3,63b44e98-0a18-4d5d-9e6c-5f4ea84d2574,51b0af76
reduce,1655122818.461962,1655122823.665189,True,3796fb25,2aa7e9f4-6c6b-4268-b564-c7e7d6a25e8b,5a9b304f
reduce,1655122818.402217,1655122823.858292,True,42dcbe1f,bb25789b-ef40-4f30-957a-16b134f44b8b,5a9b304f
split,1655122800.562039,1655122805.616619,True,1f0852af,64f10c9f-a21a-4902-86bc-e86932f30769,5a9b304f
reduce,1655122818.419085,1655122824.074946,True,cde4b710,0150d40d-8ae0-4673-9442-ee5304b2bdc8,5a9b304f
map,1655122806.155639,1655122812.038494,True,80a370b1,21f85d11-4858-442e-8aa7-abe13305666f,5a9b304f
map,1655122806.1406,1655122811.970897,True,9d43e52a,bbf209e0-868a-45b5-926b-3df4ec90ba8b,5a9b304f
reduce,1655122818.437636,1655122824.118489,True,845aaba7,a6050a90-10c4-48ad-b1ec-ea43fb559284,5a9b304f
reduce,1655122818.430594,1655122823.571965,True,af291bd6,bfc2b7a8-86c2-4b37-803c-b382df4da02c,5a9b304f
map,1655122806.120916,1655122811.907144,True,035da4b3,bcc7a1ed-e490-49e9-b376-2e972adad025,5a9b304f
shuffle,1655122812.494618,1655122817.861469,True,5e7c0c50,8368c82b-d382-490d-9a11-38b18c1a6f6f,5a9b304f
map,1655122806.701273,1655122812.723254,True,63e60b75,ceafe4ad-2d36-49b4-ad82-356ad2811123,90059b01
reduce,1655122818.853122,1655122824.474335,True,4f38c725,f1053c93-1bc4-4589-be53-0ac0163e8dcb,90059b01
reduce,1655122818.905849,1655122824.919344,True,da9687cf,8a03a832-f68f-4637-9bd6-e4ceb06c4a26,90059b01
