func,start,end,is_cold,container_id,provider_request_id,request_id
split,1654707549.218317,1654707554.880887,True,c2a53748,555fe847-224a-4c28-a2c7-5b68b66596ee,eeb217b3
reduce,1654707568.037186,1654707574.167762,True,771193ae,d7493d7b-ebda-4bae-bdf1-6f3356f09547,86dba4ab
map,1654707555.479908,1654707561.030863,True,5a8e3f2b,08b13698-14f7-42a8-ab76-31a183387fb8,86dba4ab
map,1654707555.483434,1654707561.178626,True,9d4940c1,ff01d21b-04e1-4be1-9ac3-9cc8b4cec00a,86dba4ab
reduce,1654707568.061117,1654707573.869131,True,e094781f,07d5f332-b4a8-40d5-934d-cd7dda2be774,86dba4ab
reduce,1654707567.968843,1654707573.431728,True,c2df1df1,7fab6872-f1d8-4a39-8c90-a3fa82f5cb56,86dba4ab
shuffle,1654707562.436386,1654707567.425462,True,14d631da,707d1fd5-63f9-47a2-8ffb-8cce39afab77,86dba4ab
reduce,1654707567.940039,1654707572.856909,True,0f890ec7,8fb5fcce-09cb-4770-9ef2-34f87f1551f3,86dba4ab
split,1654707549.212577,1654707554.993906,True,97355b2b,0dc0cbb4-4975-4901-a103-7962b2ed55fd,86dba4ab
reduce,1654707567.968907,1654707573.39128,True,7544d2ee,aef809d1-e8b9-425f-8ff5-aafb35bb4f8b,86dba4ab
map,1654707555.628885,1654707562.110566,True,9eed69e1,301c0521-3523-4998-a44a-0601a7a94e04,86dba4ab
map,1654707554.944617,1654707560.803242,True,28170149,8075d29a-00c4-4a0d-8a6f-0d80c6a1ed1d,91d4250c
reduce,1654707567.576079,1654707573.263688,True,1481f047,34b42885-d94e-45a2-81e4-78bb212147d3,91d4250c
shuffle,1654707561.41077,1654707566.848434,True,d2230965,b5da36af-cb9c-41f0-8b61-637535ca9927,91d4250c
map,1654707554.985049,1654707560.876692,True,af13114c,43af8864-d50a-4a53-a3c4-3433d13d099a,91d4250c
map,1654707555.0575,1654707560.841183,True,8d643259,b926eb44-f654-480e-b90e-8d1380fe4bce,91d4250c
reduce,1654707567.505418,1654707572.913463,True,9ba77952,21da7cfd-f7aa-4eea-8473-58b8e2ca16c6,91d4250c
split,1654707549.126459,1654707554.412444,True,ba5b3fb0,cca77454-cf40-4d1a-90a1-fc4cbe9ab4ad,91d4250c
reduce,1654707567.48848,1654707573.447258,True,c28cc965,922c57b9-1221-43a5-87d8-e4e42464db76,91d4250c
reduce,1654707567.588656,1654707572.941853,True,e1fca1af,cf873a14-b032-455f-929f-68722b789924,91d4250c
reduce,1654707567.463758,1654707572.92883,True,66c6a627,3af4a1e4-1464-47d0-9c71-a9ccf9ae6c7d,91d4250c
map,1654707555.074823,1654707560.80145,True,07eaedba,856c4d54-1ac3-4a38-b331-5941f0febc95,3458072f
reduce,1654707567.458887,1654707572.990989,True,03c9d1fd,3d5be414-bdf5-4f24-9ed6-03af6ce0a28a,3458072f
