func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id
generate,1706043594.952443,1706043604.255001,True,0ed6a9b4,6gt1eyotlrft,4100256,0,b9339c41
train,1706043599.785971,1706043611.148023,True,90bc1d20,s1r7i5tns0lq,0,4100256,fdac0fdd
train,1706043601.3232,1706043608.385222,True,ab162ae9,w4dofxo4l5he,0,4100256,fdac0fdd
generate,1706043594.383644,1706043599.569094,True,84738b61,b709fqomspci,4100256,0,fdac0fdd
train,1706043606.486585,1706043616.805936,True,ce5bdfab,pf6l6s5jv3bh,0,4100256,4dfd439c
train,1706043606.476,1706043616.492902,True,d015d35c,rt0gzeamht6t,0,4100256,4dfd439c
generate,1706043594.826913,1706043604.608836,True,28aae2f8,jomp2fy325sr,4100256,0,4dfd439c
train,1706043607.46376,1706043617.177841,True,36346e88,wjc8l296r8ua,0,4100256,c6c21c84
train,1706043606.904405,1706043617.785815,True,da024cb9,we2338zg58lm,0,4100256,c6c21c84
generate,1706043595.770182,1706043605.112108,True,ef343fa4,bq2miu5rvhvp,4100256,0,c6c21c84
train,1706043605.616475,1706043623.171333,True,84125e74,a55x16b9nd7c,0,4100256,e04c8dcc
train,1706043601.850349,1706043612.324233,True,55db1d20,a9kgdnq95ipg,0,4100256,e04c8dcc
generate,1706043594.517319,1706043600.296458,True,ba49da29,scx7ajz6b1q7,4100256,0,e04c8dcc
generate,1706043594.564211,1706043603.745844,True,cf010838,mqupdqm0hnkn,4100256,0,39d5bbe9
train,1706043606.088993,1706043611.621615,True,8429b977,dsb4vwbwq30r,0,4100256,39d5bbe9
train,1706043606.312656,1706043618.513605,True,40ec6e98,3kl7f0x2st3d,0,4100256,39d5bbe9
train,1706043648.089624,1706043648.588576,False,b197c80c,okpeq0wg225l,0,4100256,c23b1fa3
generate,1706043594.574883,1706043647.736304,True,a894df2b,rdacwtxh2z18,4100256,0,c23b1fa3
train,1706043647.969817,1706043648.40789,False,36346e88,wjc8lte3r0y0,0,4100256,c23b1fa3
