func,start,end,is_cold,container_id,provider.request_id,blob.upload,blob.download,request_id
train,1706024124.431829,1706024134.534859,True,23e811a5,768c6e10-aa80-4ff7-ac30-87dbc1a9cfb0,0,4100256,5d256e45
generate,1706024115.001226,1706024123.096978,True,b01e6bce,4549e425-f928-4458-b750-0ac9a0b8004b,4100256,0,5d256e45
train,1706024124.422581,1706024134.261669,True,d15de554,b0580889-c83d-4d10-b3a3-ee3b1eeaaf03,0,4100256,5d256e45
generate,1706024114.990915,1706024123.161355,True,49fe029c,035b569c-dd38-4ca5-ac16-fa2933b0ce72,4100256,0,01085966
train,1706024124.592512,1706024134.430529,True,dc1dcb72,ff2050d5-a0bb-4093-bb2a-bd011d33c3c1,0,4100256,01085966
train,1706024124.483831,1706024134.405121,True,74e9d483,adb448a0-831c-4784-ae24-15515e942533,0,4100256,01085966
train,1706024125.146403,1706024134.891076,True,78236176,83b959d3-b261-411e-8e2e-221000beee88,0,4100256,0723d3ac
generate,1706024115.518369,1706024123.988811,True,1c857e33,7af77c19-c696-4e7f-9af8-b57fdbd60ff7,4100256,0,0723d3ac
train,1706024125.123282,1706024134.682143,True,46b9e8a2,972dcaa1-1b0e-48f0-8379-852b8355216c,0,4100256,0723d3ac
generate,1706024115.84385,1706024124.192272,True,39612e22,8b7519e4-2018-41e3-80de-743ac1f76ada,4100256,0,03f85e83
train,1706024125.321099,1706024134.971277,True,7082a143,0dd01351-f1a8-420e-a119-2a363fb8ba8e,0,4100256,03f85e83
train,1706024125.316806,1706024134.897836,True,e2daf2e5,8109539a-fef9-4af1-92c4-cb6c32d10ab6,0,4100256,03f85e83
train,1706024125.064066,1706024134.812914,True,37c97b14,773e301e-6264-43f7-ae4d-771578b152f5,0,4100256,28609745
generate,1706024116.073136,1706024123.896374,True,3c9862ed,42b188a8-77ad-41ee-90cf-b6828ebff818,4100256,0,28609745
train,1706024125.110808,1706024134.656727,True,11dbe930,3125c398-3ad6-4f2f-ae9b-fddd7e28b207,0,4100256,28609745
train,1706024125.625144,1706024135.1504,True,f2ce7f7b,196f9fac-c736-43bb-8f4b-6dd505582d86,0,4100256,76ab8184
generate,1706024116.126098,1706024124.437108,True,fe72210a,851db091-bff8-4bff-8e1e-862fddb51990,4100256,0,76ab8184
train,1706024125.597599,1706024135.247384,True,ca745e85,d74946ff-1a2d-49ba-8106-ae79a3424ab2,0,4100256,76ab8184
train,1706024125.318712,1706024135.386016,True,73fdb36b,3dc5f1ef-9181-4f1f-9d7d-fa8a5ecc6246,0,4100256,c251a36e
generate,1706024115.810339,1706024124.068078,True,eff8b9ec,9491fbd7-35ad-472d-b0c8-ef06b1a7f970,4100256,0,c251a36e
train,1706024125.354039,1706024134.997741,True,649723e1,0efca288-4fe4-428f-97eb-0a35b9d22e65,0,4100256,c251a36e
