,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,func,start,end,request_id,is_cold,container_id,provider.request_id,provider.execution_duration,provider.init_duration,max_mem_used,billing.duration,billing.mem,billing.gbs
18,18,18,18,18,20,auth,1657102831.28477,1657102831.346115,34659ab7,False,7dfd8dc4,bf8a618d-a2df-4db4-b741-31fa00f7a02a,92433.0,0.0,,,,0.0533575129533678
19,19,19,19,19,21,run_workflow,1657102831.580952,1657102831.588999,34659ab7,,,,0.0,0.0,,,,0.0
20,20,20,20,20,22,run_workflow,1657102859.948584,1657102859.95197,e0dea0ef,,,,0.0,0.0,,,,0.0
21,21,21,21,21,23,auth,1657102859.747846,1657102859.850674,e0dea0ef,False,7dfd8dc4,e648aca3-765d-455f-9257-682e0cbe2307,152420.0,0.0,,,,0.0533575129533678
22,22,22,22,22,24,run_workflow,1657102888.472347,1657102888.474474,1e26e8f1,,,,0.0,0.0,,,,0.0
23,23,23,23,23,25,auth,1657102888.348628,1657102888.385087,1e26e8f1,False,7dfd8dc4,8d064339-5e12-4206-abe7-91aa56261b92,73391.0,0.0,,,,0.0533575129533678
24,24,24,24,24,26,auth,1657102917.19862,1657102917.228934,a1705345,False,7dfd8dc4,bc92972d-5046-4f47-ab94-ec20f919a5b7,48738.0,0.0,,,,0.0533575129533678
25,25,25,25,25,27,run_workflow,1657102917.323283,1657102917.325804,a1705345,,,,0.0,0.0,,,,0.0
26,26,26,26,26,28,run_workflow,1657102951.316168,1657102951.321471,4dfe24e6,,,,0.0,0.0,,,,0.0
27,27,27,27,27,29,auth,1657102951.125113,1657102951.209375,4dfe24e6,False,25896eb6,0343abef-8dd7-4d83-9130-f079c41181cc,116701.0,0.0,,,,0.0533575129533678
28,28,28,28,28,30,auth,1657102975.159584,1657102975.190915,0ad07f80,False,25896eb6,9f9c118c-b5b0-43ce-9136-c805da180100,56945.0,0.0,,,,0.0533575129533678
29,29,29,29,29,31,run_workflow,1657102975.284189,1657102975.28565,0ad07f80,,,,0.0,0.0,,,,0.0
30,30,30,30,30,32,auth,1657103007.100488,1657103007.129869,936bd2d5,False,7dfd8dc4,ad80a5b3-5124-403d-90ed-4214ad48d83b,56924.0,0.0,,,,0.0533575129533678
31,31,31,31,31,33,run_workflow,1657103007.649054,1657103007.650663,936bd2d5,,,,0.0,0.0,,,,0.0
32,32,32,32,32,34,run_workflow,1657103060.983741,1657103060.998571,ef96c83e,,,,0.0,0.0,,,,0.0
33,33,33,33,33,35,auth,1657103060.799206,1657103060.827313,ef96c83e,False,25896eb6,e2e779f1-5a8e-4f0e-948b-8ed6ac090106,44413.0,0.0,,,,0.0533575129533678
34,34,34,34,34,36,auth,1657103103.116199,1657103103.153209,cbd244e0,False,3a0032f5,0f7765c8-37aa-40c4-8056-7774d784e88f,55618.0,0.0,,,,0.0533575129533678
35,35,35,35,35,37,run_workflow,1657103103.22431,1657103103.226535,cbd244e0,,,,0.0,0.0,,,,0.0
36,36,36,36,36,38,auth,1657103138.015362,1657103138.042891,8463b555,False,3a0032f5,be188198-7ea4-430b-9fdb-a790c6e0d490,44345.0,0.0,,,,0.0533575129533678
37,37,37,37,37,39,run_workflow,1657103138.100893,1657103138.10568,8463b555,,,,0.0,0.0,,,,0.0
38,38,38,38,38,40,auth,1657103157.866258,1657103157.917869,7e886312,False,7dfd8dc4,2af04a52-619b-4fe9-b98f-6853aea9352c,77295.0,0.0,,,,0.0533575129533678
39,39,39,39,39,41,run_workflow,1657103158.305278,1657103158.308848,7e886312,,,,0.0,0.0,,,,0.0
40,40,40,40,40,42,run_workflow,1657103183.767988,1657103183.770173,1078da6c,,,,0.0,0.0,,,,0.0
41,41,41,41,41,43,auth,1657103183.649191,1657103183.681401,1078da6c,False,7dfd8dc4,afb5bcf4-83b7-49cd-acc1-e3c6fcf8f90a,61932.0,0.0,,,,0.0533575129533678
42,42,42,42,42,44,auth,1657103209.945281,1657103209.969703,d3c01627,False,3a0032f5,e60680bb-f7d3-4e09-a762-f77f4499128e,42893.0,0.0,,,,0.0533575129533678
43,43,43,43,43,45,run_workflow,1657103210.024195,1657103210.025848,d3c01627,,,,0.0,0.0,,,,0.0
44,44,44,44,44,46,run_workflow,1657103237.704921,1657103237.706921,f736ffdd,,,,0.0,0.0,,,,0.0
45,45,45,45,45,47,auth,1657103236.610556,1657103236.6306,f736ffdd,False,3a0032f5,cf475208-01a4-4ad2-9b2c-076bec86e989,1052946.0,0.0,,,,0.0533575129533678
46,46,46,46,46,48,auth,1657103289.437373,1657103289.467405,0696fe2d,False,25896eb6,8ae376f3-951b-46e2-bfee-8813297da615,47108.0,0.0,,,,0.0533575129533678
47,47,47,47,47,49,run_workflow,1657103289.524969,1657103289.526809,0696fe2d,,,,0.0,0.0,,,,0.0
48,48,48,48,48,50,auth,1657103307.164629,1657103307.20364,5cf61f14,False,7dfd8dc4,01e831da-b1b6-4f17-a132-a1b5284c14ef,66076.0,0.0,,,,0.0533575129533678
49,49,49,49,49,51,run_workflow,1657103307.302745,1657103307.304419,5cf61f14,,,,0.0,0.0,,,,0.0
50,50,50,50,50,52,auth,1657103341.468648,1657103341.490795,c1ce625b,False,25896eb6,48ec5fff-9ad1-4e1a-814d-871f37df2b42,34290.0,0.0,,,,0.0533575129533678
51,51,51,51,51,53,run_workflow,1657103341.550085,1657103341.55469,c1ce625b,,,,0.0,0.0,,,,0.0
52,52,52,52,52,54,auth,1657103370.278486,1657103370.300282,4757d797,False,25896eb6,c6e33fa1-3c23-4eea-ba8c-e4dc1366a30f,34035.0,0.0,,,,0.0533575129533678
53,53,53,53,53,55,run_workflow,1657103370.355402,1657103370.356682,4757d797,,,,0.0,0.0,,,,0.0
54,54,54,54,54,56,auth,1657103401.621847,1657103401.64882,9ae41939,False,3a0032f5,622e9d01-2514-4346-8d42-1a29bb45eb4f,44806.0,0.0,,,,0.0533575129533678
55,55,55,55,55,57,run_workflow,1657103401.703688,1657103401.708331,9ae41939,,,,0.0,0.0,,,,0.0
56,56,56,56,56,58,auth,1657103444.981311,1657103445.006616,e608fb28,False,3a0032f5,ec7d49b7-4aa1-4dad-8201-c6d8759a8d4e,45752.0,0.0,,,,0.0533575129533678
57,57,57,57,57,59,run_workflow,1657103445.063854,1657103445.066063,e608fb28,,,,0.0,0.0,,,,0.0
58,58,58,58,58,60,run_workflow,1657103487.136252,1657103487.13964,3a70160c,,,,0.0,0.0,,,,0.0
59,59,59,59,59,61,auth,1657103487.039109,1657103487.066807,3a70160c,False,25896eb6,572d6b90-870b-4256-9f01-ceed3802d795,45238.0,0.0,,,,0.0533575129533678
60,60,60,60,60,62,auth,1657103507.225006,1657103507.249424,9b810210,False,3a0032f5,fdbc40c8-44e8-4273-97ff-36a9aebb56d6,38905.0,0.0,,,,0.0533575129533678
61,61,61,61,61,63,run_workflow,1657103507.303469,1657103507.305873,9b810210,,,,0.0,0.0,,,,0.0
62,62,62,62,62,64,auth,1657103554.965359,1657103554.997813,170fe970,False,3a0032f5,35349495-6b42-49d3-b40a-97941174a033,45725.0,0.0,,,,0.0533575129533678
63,63,63,63,63,65,run_workflow,1657103555.070301,1657103555.071591,170fe970,,,,0.0,0.0,,,,0.0
64,64,64,64,64,66,auth,1657103604.977737,1657103605.002324,8e9edbc0,False,25896eb6,8f1af407-fc79-43e4-a481-73f869823d5f,43349.0,0.0,,,,0.0533575129533678
65,65,65,65,65,67,run_workflow,1657103605.057168,1657103605.059186,8e9edbc0,,,,0.0,0.0,,,,0.0
66,66,66,66,66,68,auth,1657103624.935921,1657103624.960269,dc625ed1,False,3a0032f5,9e4a26cb-1c1b-4b86-bb10-9e257faaddc7,49574.0,0.0,,,,0.0533575129533678
67,67,67,67,67,69,run_workflow,1657103625.061437,1657103625.064339,dc625ed1,,,,0.0,0.0,,,,0.0
68,68,68,68,68,70,auth,1657103657.390319,1657103657.411985,c9baf13d,False,25896eb6,6167850f-f978-4773-9919-1ff139b6ce85,35173.0,0.0,,,,0.0533575129533678
69,69,69,69,69,71,run_workflow,1657103657.461733,1657103657.462843,c9baf13d,,,,0.0,0.0,,,,0.0
70,70,70,70,70,72,run_workflow,1657103684.541247,1657103684.542691,87a6c0ea,,,,0.0,0.0,,,,0.0
71,71,71,71,71,73,auth,1657103684.43825,1657103684.468572,87a6c0ea,False,25896eb6,70884a91-8aba-4864-9064-646ea701f977,55311.0,0.0,,,,0.0533575129533678
72,72,72,72,72,74,run_workflow,1657103726.929231,1657103726.934436,77280174,,,,0.0,0.0,,,,0.0
73,73,73,73,73,75,auth,1657103726.842515,1657103726.868695,77280174,False,3a0032f5,16900b3f-04aa-42a4-bac6-2f41998cf0b1,45169.0,0.0,,,,0.0533575129533678
74,74,74,74,74,76,run_workflow,1657103755.66561,1657103755.669658,9f810126,,,,0.0,0.0,,,,0.0
75,75,75,75,75,77,auth,1657103755.468157,1657103755.560396,9f810126,False,7dfd8dc4,dbd4abb0-940d-4064-8198-6496fb121999,131738.0,0.0,,,,0.0533575129533678
76,76,76,76,76,78,auth,1657103784.041473,1657103784.120692,ecfeeaae,False,7dfd8dc4,31297ae7-5b0b-47cb-a8be-318720a61ae9,103049.0,0.0,,,,0.0533575129533678
77,77,77,77,77,79,run_workflow,1657103784.195329,1657103784.201637,ecfeeaae,,,,0.0,0.0,,,,0.0
78,78,78,78,78,80,auth,1657103836.191723,1657103836.219882,364379f5,False,3a0032f5,832b5239-470e-409e-bfc9-1ebe3559561b,43954.0,0.0,,,,0.0533575129533678
79,79,79,79,79,81,run_workflow,1657103836.296596,1657103836.298664,364379f5,,,,0.0,0.0,,,,0.0
80,80,80,80,80,82,auth,1657103860.96574,1657103861.031001,356d8a29,False,7dfd8dc4,bf4e2d4c-56aa-406d-9562-5f6dea6bf1e8,87330.0,0.0,,,,0.0533575129533678
81,81,81,81,81,83,run_workflow,1657103861.105066,1657103861.111203,356d8a29,,,,0.0,0.0,,,,0.0
82,82,82,82,82,84,run_workflow,1657103914.956647,1657103914.961229,5f75296f,,,,0.0,0.0,,,,0.0
83,83,83,83,83,85,auth,1657103914.863428,1657103914.891572,5f75296f,False,3a0032f5,2c08c328-4d31-4a3a-a51b-f144513d185e,48068.0,0.0,,,,0.0533575129533678
84,84,84,84,84,86,run_workflow,1657103938.841039,1657103938.845132,f11b47e1,,,,0.0,0.0,,,,0.0
85,85,85,85,85,87,auth,1657103938.537719,1657103938.575265,f11b47e1,False,7dfd8dc4,1165c0c0-236e-45cc-9547-8a82e70bc45c,59877.0,0.0,,,,0.0533575129533678
86,86,86,86,86,88,run_workflow,1657103978.157369,1657103978.159463,2dcd52d8,,,,0.0,0.0,,,,0.0
87,87,87,87,87,89,auth,1657103978.073707,1657103978.09637,2dcd52d8,False,3a0032f5,8555b7e2-1bfc-4ffa-82b5-366b26226f99,40725.0,0.0,,,,0.0533575129533678
88,88,88,88,88,90,run_workflow,1657104033.141984,1657104033.146883,30198988,,,,0.0,0.0,,,,0.0
89,89,89,89,89,91,auth,1657104033.054498,1657104033.087948,30198988,False,3a0032f5,c92f6cac-df63-4ce7-a8ae-855547d2017f,48256.0,0.0,,,,0.0533575129533678
90,90,90,90,90,92,run_workflow,1657104059.308195,1657104059.310014,46e8cc3e,,,,0.0,0.0,,,,0.0
91,91,91,91,91,93,auth,1657104058.194634,1657104058.220233,46e8cc3e,False,3a0032f5,1e002c2c-4e87-4d39-856c-ac61788be3b0,1074008.0,0.0,,,,0.0533575129533678
92,92,92,92,92,94,run_workflow,1657104089.030774,1657104089.032471,fa240fcd,,,,0.0,0.0,,,,0.0
93,93,93,93,93,95,auth,1657104087.926596,1657104087.962859,fa240fcd,False,3a0032f5,9d161b17-2796-4e11-b3fe-4fb1314a7188,1061044.0,0.0,,,,0.0533575129533678
94,94,94,94,94,96,auth,1657104116.372119,1657104116.417064,4a6416f6,False,7dfd8dc4,9a977688-a798-47e0-b5fc-7f700331266e,77681.0,0.0,,,,0.0533575129533678
95,95,95,95,95,97,run_workflow,1657104116.480325,1657104116.482413,4a6416f6,,,,0.0,0.0,,,,0.0
96,96,96,96,96,98,auth,1657104172.717542,1657104172.742768,3d78e0f7,False,3a0032f5,e779ea78-e46d-4827-a06d-5d0697e1acee,43261.0,0.0,,,,0.0533575129533678
97,97,97,97,97,99,run_workflow,1657104172.838837,1657104172.843038,3d78e0f7,,,,0.0,0.0,,,,0.0
